Da,YB,VQ
1325,590,930
1294,574,884
1331,561,860
1296,539,842
1181,523,819
1047,511,787
1000,499,751
1071,487,743
1025,481,734
1013,472,734
986,464,708
990,458,725
861,452,721
951,447,691
977,441,665
906,436,657
907,436,648
952,444,640
902,452,648
932,458,648
1184,687,640
1195,613,674
907,529,665
927,490,624
846,458,611
822,441,615
855,427,591
883,430,571
1146,496,591
1101,643,587
1017,646,648
1253,705,1010
1047,732,1640
1104,593,1300
900,529,1110
878,487,918
1236,514,777
1536,817,732
1237,666,734
1011,554,699
910,499,644
808,470,620
868,441,615
773,424,591
815,413,583
789,408,571
742,402,563
843,394,571
714,391,575
689,385,567
936,396,551
1256,620,575
1316,606,599
1210,542,544
991,499,548
868,461,536
878,430,536
859,408,544
807,391,517
796,382,507
778,371,514
734,357,527
735,359,507
774,355,521
966,538,572
842,524,630
822,469,612
743,444,544
759,415,527
740,386,514
640,378,521
702,353,507
678,342,494
627,333,487
647,325,481
653,325,481
750,378,484
698,364,504
680,355,514
639,344,531
597,333,534
602,329,531
594,325,521
590,317,527
576,306,524
553,294,500
610,287,481
635,306,507
537,340,514
579,329,521
514,304,521
569,296,569
517,317,541
566,336,504
554,331,455
589,321,500
497,314,494
584,312,494
567,308,455
622,304,446
705,380,481
680,348,446
563,321,437
698,323,449
644,346,481
534,342,481
591,333,514
603,321,541
534,304,524
530,296,500
480,287,490
508,279,468
450,267,455
510,259,446
456,257,443
465,255,437
480,251,449
460,251,431
440,247,431
400,251,431
420,249,425
416,247,437
380,243,434
440,237,422
420,239,407
406,247,401
398,239,440
372,235,481
379,230,449
376,224,446
337,220,458
326,214,455
397,213,462
398,209,455
416,207,443
350,207,455
316,224,449
322,207,455
370,201,446
300,228,449
358,235,443
367,214,443
420,205,446
382,201,443
340,201,446
339,197,443
318,197,449
352,186,431
410,205,437
454,283,428
479,275,419
440,218,458
350,199,443
370,194,437
360,192,425
343,190,407
398,188,396
390,190,425
332,201,434
387,220,437
417,300,462
354,294,465
320,308,452
360,251,449
370,228,452
355,220,474
335,197,431
301,178,437
306,171,449
305,163,398
308,180,446
324,308,497
310,279,566
292,199,555
326,178,562
352,173,638
300,188,693
250,197,760
310,199,723
360,201,649
350,232,634
330,216,576
370,209,538
376,306,664
300,239,656
350,218,521
380,201,704
420,184,697
470,199,679
500,228,642
465,214,594
500,214,594
430,201,656
426,190,623
430,197,594
570,235,638
1324,452,701
1567,793,598
1288,559,437
884,477,416
862,444,468
851,380,449
640,329,422
500,291,425
520,271,390
483,259,356
464,232,344
450,251,470
503,267,732
490,333,1110
529,296,1340
900,306,1120
1135,389,1330
1449,480,1730
1385,439,1540
1100,406,1500
1560,452,2140
3041,708,2510
3456,1050,3280
4527,1590,3120
5060,1240,2910
3234,944,2220
3265,862,1770
4160,950,1710
4833,832,1450
4010,857,1220
3190,866,1030
2468,741,882
2127,672,881
2480,608,1360
2698,687,1470
2450,719,1340
2366,607,1160
2159,568,904
1876,530,816
1823,472,728
1858,478,656
1850,496,759
2788,648,777
3440,760,1200
3039,757,1200
2780,779,1060
3000,847,2050
3368,840,2220
4749,1000,2740
6702,1540,2880
7324,1990,3200
7874,2180,3090
8118,2260,3390
7900,2370,4140
9022,2440,3960
7511,1870,3300
6403,1510,2730
5333,1300,2140
4454,1160,1810
4439,1220,1750
4148,1070,1800
6089,1040,2250
6927,1210,2730
7019,1350,2500
6702,1460,2180
5388,1310,1920
5439,1180,1680
4441,1040,1500
3890,931,1370
3495,852,1620
4075,1040,2020
4626,983,2400
5039,1210,2380
4692,1480,2120
5241,1750,2160
5389,2620,2410
4153,2090,2400
3019,1320,1920
3317,1200,1680
2985,1040,1540
2631,955,1530
2818,966,1360
2946,1700,2100
3610,2260,3070
4496,2230,3780
5092,2300,3540
6100,1980,3470
5725,1520,3270
5207,1310,2720
5714,1640,2460
9234,3040,2710
9234,4280,4130
8950,4340,5560
10551,4170,6500
12129,4550,6540
10550,3480,5960
10900,5230,5560
9977,5010,5670
9210,3840,5640
8269,3090,5150
7506,2590,4040
6477,2890,3690
5688,2740,3660
4764,2340,3290
4539,2280,2920
4377,1700,2640
6128,2020,2380
5114,2920,2300
4079,2430,2240
3627,1930,2240
3724,3210,3080
4058,3070,3360
3792,2380,3140
3179,1920,2620
3195,1600,2210
2920,1670,2130
2669,1740,2180
2977,1560,2400
2584,1360,2070
2718,1290,1730
4074,1420,1820
3196,1480,1950
2336,1180,1740
2306,1080,1590
2236,1060,1750
2234,1160,2140
2042,1020,2190
2292,1070,1870
3197,1280,1690
2794,1290,1570
2363,1160,1450
2217,1060,1340
2174,1060,1230
2036,1160,1170
2258,1360,1140
2055,1260,1110
2059,1100,1040
2100,1100,1000
2404,1130,1180
2285,1180,1770
2367,1130,1880
2306,998,1480
2324,936,1250
2441,910,1120
2349,966,1060
2271,892,1040
2190,936,1000
1991,899,974
1820,998,938
1744,1080,909
1850,947,884
1911,863,872
1499,826,860
1473,806,840
1400,810,978
1562,752,987
1586,727,978
1480,717,864
1604,705,836
1556,696,860
1703,730,880
1716,727,876
1537,774,805
1660,739,764
1504,696,730
1292,689,738
1338,637,693
1217,597,693
1194,570,679
1142,550,645
1211,533,645
1156,533,690
1104,512,649
1056,504,590
1034,498,580
1511,689,562
1281,730,562
1075,665,558
1086,591,562
963,550,558
949,530,521
1012,515,517
1407,704,558
1797,1330,649
1459,992,623
1146,730,590
997,620,601
1016,562,576
977,535,548
1084,660,541
2430,1400,562
2137,1510,555
1597,1110,555
1227,885,548
1064,740,534
1101,690,521
1093,650,521
1094,621,517
1052,610,510
948,578,507
963,556,487
865,537,497
901,522,474
847,518,481
877,515,474
860,524,500
794,512,490
834,487,474
827,470,477
771,465,468
776,448,468
706,438,455
813,427,455
758,420,462
675,412,455
710,410,455
738,403,449
680,395,443
724,393,437
675,389,437
708,389,443
704,387,462
716,389,458
651,385,437
655,380,437
631,372,431
735,368,434
597,364,431
566,360,419
595,352,440
523,332,348
530,327,348
635,324,359
569,321,359
550,321,359
562,316,365
564,314,351
526,311,346
527,308,348
557,306,359
570,298,354
547,301,359
534,306,362
533,306,387
464,301,340
507,294,348
495,288,333
537,284,340
478,276,378
474,272,381
490,269,455
464,264,466
500,262,459
482,257,455
459,255,452
472,252,452
480,248,452
480,248,437
590,248,430
430,248,452
520,245,444
430,248,459
454,248,455
468,245,448
415,245,437
459,243,444
466,248,437
472,276,444
456,272,437
457,252,401
439,245,387
414,238,381
418,233,378
447,229,373
402,224,370
367,217,356
335,211,343
320,207,333
431,200,343
350,198,404
350,200,335
340,207,318
486,222,323
420,233,323
420,248,338
512,272,308
525,267,310
537,267,314
426,262,310
493,238,306
473,229,306
473,220,328
388,211,328
431,207,333
490,198,325
460,194,381
400,190,335
370,186,306
410,186,323
390,183,316
334,179,302
348,177,308
334,175,302
369,172,286
400,172,325
380,170,316
385,168,302
340,163,306
330,158,302
300,157,300
280,156,304
296,156,304
273,154,306
250,154,298
398,164,305
425,244,424
700,369,801
1104,916,1800
1206,1180,2220
945,787,2160
494,584,1490
590,468,1060
495,372,847
400,336,666
480,340,634
420,303,600
403,281,612
386,263,562
390,240,518
350,224,500
318,216,474
250,202,466
310,196,452
260,193,437
320,189,470
300,191,452
297,208,452
430,223,481
380,199,511
300,188,530
334,246,533
280,322,541
270,302,549
301,264,507
320,250,530
320,226,496
370,236,488
380,258,514
1000,716,518
1353,1020,616
780,562,729
650,412,669
583,360,628
1135,749,1160
871,579,1170
796,461,881
450,346,755
411,310,686
1260,342,686
1033,924,923
1345,1470,1210
1204,846,1090
1230,957,933
1420,672,881
815,612,835
985,601,808
853,621,780
954,814,1730
947,752,1700
901,628,1370
799,553,1100
674,492,1060
771,492,978
905,474,869
680,422,809
754,416,822
733,435,918
1203,519,994
1578,506,1040
1796,1060,1210
3714,2420,2150
3088,1520,2020
2425,1040,2200
2774,941,2220
2255,784,1820
1846,673,1530
1633,606,1640
1425,602,1430
1410,600,1570
1543,649,1350
1464,638,1220
1464,705,1030
1580,701,887
1584,656,800
1744,790,715
1769,866,721
1702,946,1740
2496,1130,2600
1934,968,2560
1773,862,3370
2174,977,4270
2150,990,3460
2094,912,3180
1967,1080,2790
2800,1030,2140
2449,920,1730
4143,908,2470
4673,1760,2810
4301,1340,2160
3573,1080,2020
3575,1020,1940
3970,1030,1820
4233,1330,2030
3600,995,1680
3609,896,1440
4840,1450,1460
7292,2410,2400
7030,1650,2400
6185,1300,2350
5010,1400,2450
4985,1230,2390
3982,1090,2190
4061,1280,1940
5066,1870,2240
4792,1970,2260
7860,1530,2140
4452,1300,2040
4090,1100,1800
4013,1020,1480
5390,1360,1310
7698,1750,2290
7737,1980,3550
7437,1750,4010
7145,2080,3540
6735,1790,2830
9694,2520,2380
9531,6540,2460
7076,4020,2640
6007,2210,2410
4953,1760,2070
4210,1670,2020
4280,2230,2630
6082,2940,3630
6403,2550,3450
